/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/utils/socket_utils.h:125 createSocket() Mon Jan 20 22:36:12 2025 ip:127.0.0.1 interface:lo port:12345 is_udp:0 is_blocking:0 is_listening:0 ttl:0 SOtime:1 
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:45 run() Mon Jan 20 22:36:12 2025
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq1 MEClientRequest [type: NEW, client: 1, ticker: 3, order_id: 1000, side: BUY, qty: 42, price: 168]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq2 MEClientRequest [type: CANCEL, client: 1, ticker: 3, order_id: 1000, side: BUY, qty: 42, price: 168]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq3 MEClientRequest [type: NEW, client: 1, ticker: 2, order_id: 1001, side: BUY, qty: 5, price: 181]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq4 MEClientRequest [type: CANCEL, client: 1, ticker: 2, order_id: 1001, side: BUY, qty: 5, price: 181]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq5 MEClientRequest [type: NEW, client: 1, ticker: 0, order_id: 1002, side: BUY, qty: 5, price: 110]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq6 MEClientRequest [type: CANCEL, client: 1, ticker: 3, order_id: 1000, side: BUY, qty: 42, price: 168]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq7 MEClientRequest [type: NEW, client: 1, ticker: 5, order_id: 1003, side: BUY, qty: 35, price: 173]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq8 MEClientRequest [type: CANCEL, client: 1, ticker: 0, order_id: 1002, side: BUY, qty: 5, price: 110]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq9 MEClientRequest [type: NEW, client: 1, ticker: 0, order_id: 1004, side: SELL, qty: 99, price: 113]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq10 MEClientRequest [type: CANCEL, client: 1, ticker: 0, order_id: 1002, side: BUY, qty: 5, price: 110]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq11 MEClientRequest [type: NEW, client: 1, ticker: 3, order_id: 1005, side: BUY, qty: 35, price: 159]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq12 MEClientRequest [type: CANCEL, client: 1, ticker: 2, order_id: 1001, side: BUY, qty: 5, price: 181]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq13 MEClientRequest [type: NEW, client: 1, ticker: 3, order_id: 1006, side: SELL, qty: 69, price: 160]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq14 MEClientRequest [type: CANCEL, client: 1, ticker: 3, order_id: 1000, side: BUY, qty: 42, price: 168]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:25 2025 Sending cid:1 seq15 MEClientRequest [type: NEW, client: 1, ticker: 0, order_id: 1007, side: SELL, qty: 47, price: 113]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:26 2025 Sending cid:1 seq16 MEClientRequest [type: CANCEL, client: 1, ticker: 5, order_id: 1003, side: BUY, qty: 35, price: 173]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:26 2025 Sending cid:1 seq17 MEClientRequest [type: NEW, client: 1, ticker: 2, order_id: 1008, side: BUY, qty: 3, price: 181]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:26 2025 Sending cid:1 seq18 MEClientRequest [type: CANCEL, client: 1, ticker: 0, order_id: 1007, side: SELL, qty: 47, price: 113]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:26 2025 Sending cid:1 seq19 MEClientRequest [type: NEW, client: 1, ticker: 0, order_id: 1009, side: SELL, qty: 92, price: 116]
/Users/pranavthatte/Desktop/Core/Princeton Senior/Winter 2023 Studying/Exchange/trading/order_gw/order_gateway.cpp:58 run() Mon Jan 20 22:36:26 2025 Sending cid:1 seq20 MEClientRequest [type: CANCEL, client: 1, ticker: 3, order_id: 1006, side: SELL, qty: 69, price: 160]
